,start_station_name,value
40,Grove St PATH,63481
78,South Waterfront Walkway - Sinatra Dr & 1 St,57939
46,Hoboken Terminal - Hudson St & Hudson Pl,50857
47,Hoboken Terminal - River St & Hudson Pl,47467
72,Newport Pkwy,37474
41,Hamilton Park,33997
71,Newport PATH,33197
64,Marin Light Rail,31018
45,Hoboken Ave at Monmouth St,30542
2,14 St Ferry - 14 St & Shipyard Ln,28207
26,Columbus Dr at Exchange Pl,27675
0,11 St & Washington St,27313
42,Harborside,26346
23,City Hall - Washington St & 1 St,26243
84,Washington St,25064
8,8 St & Washington St,24283
57,Liberty Light Rail,23859
77,Sip Ave,23674
60,Madison St & 1 St,23540
22,City Hall,23330
